Timestamp,CPU_Usage (%),Memory_Usage (%),Disk_Usage (%)
2025-01-03 13:43:05,21.2,41.3,7.1
2025-01-03 13:43:05,17.4,41.3,7.1
2025-01-03 13:43:05,17.1,41.3,7.1
2025-01-03 13:43:05,15.7,41.4,7.1
2025-01-03 13:43:05,17.6,41.4,7.1
2025-01-03 13:43:05,21.8,41.4,7.1
2025-01-03 13:43:06,20.0,41.4,7.1
2025-01-03 13:43:06,19.7,41.3,7.1
2025-01-03 13:43:06,18.3,41.3,7.1
2025-01-03 13:43:06,18.7,41.3,7.1
2025-01-03 13:43:06,22.8,41.3,7.1
2025-01-03 13:43:06,23.4,41.3,7.1
2025-01-03 13:43:06,22.0,41.3,7.1
2025-01-03 13:43:06,24.2,41.3,7.1
2025-01-03 13:43:06,16.7,41.3,7.1
2025-01-03 13:43:07,14.6,41.3,7.1
2025-01-03 13:43:07,20.8,41.3,7.1
2025-01-03 13:43:07,20.7,41.3,7.1
2025-01-03 13:43:07,21.5,41.3,7.1
2025-01-03 13:43:07,16.0,41.3,7.1
2025-01-03 13:43:07,14.3,41.3,7.1
2025-01-03 13:43:07,22.1,41.3,7.1
2025-01-03 13:43:07,20.9,41.3,7.1
2025-01-03 13:43:07,21.7,41.3,7.1
2025-01-03 13:43:08,15.3,41.3,7.1
2025-01-03 13:43:08,21.1,41.3,7.1
2025-01-03 13:43:08,13.4,41.4,7.1
2025-01-03 13:43:08,19.5,41.3,7.1
2025-01-03 13:43:08,14.6,41.3,7.1
2025-01-03 13:43:08,13.6,41.3,7.1
2025-01-03 13:43:08,15.7,41.2,7.1
2025-01-03 13:43:08,18.8,41.3,7.1
2025-01-03 13:43:08,23.9,41.3,7.1
2025-01-03 13:43:08,17.4,41.3,7.1
2025-01-03 13:43:09,20.7,41.3,7.1
2025-01-03 13:43:09,15.3,41.3,7.1
2025-01-03 13:43:09,17.1,41.3,7.1
2025-01-03 13:43:09,22.5,41.3,7.1
2025-01-03 13:43:09,18.4,41.3,7.1
2025-01-03 13:43:09,17.4,41.3,7.1
2025-01-03 13:43:09,20.7,41.3,7.1
2025-01-03 13:43:09,17.9,41.3,7.1
2025-01-03 13:43:09,14.6,41.3,7.1
2025-01-03 13:43:10,13.3,41.3,7.1
2025-01-03 13:43:10,18.3,41.4,7.1
2025-01-03 13:43:10,20.0,41.3,7.1
2025-01-03 13:43:10,23.7,41.3,7.1
2025-01-03 13:43:10,17.9,41.4,7.1
2025-01-03 13:43:10,19.3,41.4,7.1
2025-01-03 13:43:10,23.2,41.4,7.1
2025-01-03 13:43:10,14.8,41.4,7.1
2025-01-03 13:43:10,14.3,41.4,7.1
2025-01-03 13:43:11,16.5,41.3,7.1
2025-01-03 13:43:11,22.9,41.3,7.1
2025-01-03 13:43:11,18.0,41.4,7.1
2025-01-03 13:43:11,26.7,41.4,7.1
2025-01-03 13:43:11,17.5,41.4,7.1
2025-01-03 13:43:11,14.3,41.3,7.1
2025-01-03 13:43:11,17.4,41.3,7.1
2025-01-03 13:43:11,17.9,41.3,7.1
2025-01-03 13:43:11,18.4,41.3,7.1
2025-01-03 13:43:12,20.0,41.3,7.1
2025-01-03 13:43:12,19.6,41.3,7.1
2025-01-03 13:43:12,14.9,41.3,7.1
2025-01-03 13:43:12,20.7,41.3,7.1
2025-01-03 13:43:12,16.7,41.3,7.1
2025-01-03 13:43:12,14.6,41.3,7.1
2025-01-03 13:43:12,20.0,41.3,7.1
2025-01-03 13:43:12,21.6,41.3,7.1
2025-01-03 13:43:12,18.7,41.3,7.1
2025-01-03 13:43:13,12.5,41.3,7.1
2025-01-03 13:43:13,18.8,41.3,7.1
2025-01-03 13:43:13,21.6,41.3,7.1
2025-01-03 13:43:13,17.0,41.3,7.1
2025-01-03 13:43:13,24.8,41.3,7.1
2025-01-03 13:43:13,19.8,41.3,7.1
2025-01-03 13:43:13,19.5,41.3,7.1
2025-01-03 13:43:13,20.7,41.3,7.1
2025-01-03 13:43:13,20.2,41.3,7.1
2025-01-03 13:43:14,20.2,41.4,7.1
2025-01-03 13:43:14,19.3,41.4,7.1
2025-01-03 13:43:14,20.0,41.4,7.1
2025-01-03 13:43:14,18.8,41.3,7.1
2025-01-03 13:43:14,23.5,41.4,7.1
2025-01-03 13:43:14,17.4,41.4,7.1
2025-01-03 13:43:14,25.7,41.4,7.1
2025-01-03 13:43:14,22.2,41.4,7.1
2025-01-03 13:43:14,17.4,41.4,7.1
2025-01-03 13:43:14,16.5,41.4,7.1
2025-01-03 13:43:15,14.3,41.4,7.1
2025-01-03 13:43:15,23.6,41.4,7.1
2025-01-03 13:43:15,16.2,41.4,7.1
2025-01-03 13:43:15,18.7,41.4,7.1
2025-01-03 13:43:15,15.9,41.4,7.1
2025-01-03 13:43:15,15.9,41.4,7.1
2025-01-03 13:43:15,22.2,41.4,7.1
2025-01-03 13:43:15,17.4,41.4,7.1
2025-01-03 13:43:15,19.6,41.4,7.1
2025-01-03 13:43:16,23.7,41.4,7.1
2025-01-03 13:43:16,32.4,41.4,7.1
2025-01-03 13:43:16,17.2,41.4,7.1
2025-01-03 13:43:16,16.7,41.4,7.1
2025-01-03 13:43:16,19.0,41.4,7.1
2025-01-03 13:43:16,15.5,41.4,7.1
2025-01-03 13:43:16,23.4,41.4,7.1
2025-01-03 13:43:16,22.6,41.4,7.1
2025-01-03 13:43:16,16.7,41.4,7.1
2025-01-03 13:43:17,18.5,41.4,7.1
2025-01-03 13:43:17,14.3,41.4,7.1
2025-01-03 13:43:17,15.1,41.4,7.1
2025-01-03 13:43:17,18.6,41.4,7.1
2025-01-03 13:43:17,15.7,41.4,7.1
2025-01-03 13:43:17,17.1,41.4,7.1
2025-01-03 13:43:17,19.0,41.4,7.1
